mushaf_page,surah,page_in_surah,khatma_file,pages_file
1,1,1,khatma/1.mp3,pages/1 Page 1.mp3
2,2,1,khatma/2.mp3,pages/2 Page 1.mp3
3,2,2,khatma/3.mp3,pages/2 Page 2.mp3
4,2,3,khatma/4.mp3,pages/2 Page 3.mp3
5,2,4,khatma/5.mp3,pages/2 Page 4.mp3
6,2,5,khatma/6.mp3,pages/2 Page 5.mp3
7,2,6,khatma/7.mp3,pages/2 Page 6.mp3
8,2,7,khatma/8.mp3,pages/2 Page 7.mp3
9,2,8,khatma/9.mp3,pages/2 Page 8.mp3
10,2,9,khatma/10.mp3,pages/2 Page 9.mp3
11,2,10,khatma/11.mp3,pages/2 Page 10.mp3
12,2,11,khatma/12.mp3,pages/2 Page 11.mp3
13,2,12,khatma/13.mp3,pages/2 Page 12.mp3
14,2,13,khatma/14.mp3,pages/2 Page 13.mp3
15,2,14,khatma/15.mp3,pages/2 Page 14.mp3
16,2,15,khatma/16.mp3,pages/2 Page 15.mp3
17,2,16,khatma/17.mp3,pages/2 Page 16.mp3
18,2,17,khatma/18.mp3,pages/2 Page 17.mp3
19,2,18,khatma/19.mp3,pages/2 Page 18.mp3
20,2,19,khatma/20.mp3,pages/2 Page 19.mp3
21,2,20,khatma/21.mp3,pages/2 Page 20.mp3
22,2,21,khatma/22.mp3,pages/2 Page 21.mp3
23,2,22,khatma/23.mp3,pages/2 Page 22.mp3
24,2,23,khatma/24.mp3,pages/2 Page 23.mp3
25,2,24,khatma/25.mp3,pages/2 Page 24.mp3
26,2,25,khatma/26.mp3,pages/2 Page 25.mp3
27,2,26,khatma/27.mp3,pages/2 Page 26.mp3
28,2,27,khatma/28.mp3,pages/2 Page 27.mp3
29,2,28,khatma/29.mp3,pages/2 Page 28.mp3
30,2,29,khatma/30.mp3,pages/2 Page 29.mp3
31,2,30,khatma/31.mp3,pages/2 Page 30.mp3
32,2,31,khatma/32.mp3,pages/2 Page 31.mp3
33,2,32,khatma/33.mp3,pages/2 Page 32.mp3
34,2,33,khatma/34.mp3,pages/2 Page 33.mp3
35,2,34,khatma/35.mp3,pages/2 Page 34.mp3
36,2,35,khatma/36.mp3,pages/2 Page 35.mp3
37,2,36,khatma/37.mp3,pages/2 Page 36.mp3
38,2,37,khatma/38.mp3,pages/2 Page 37.mp3
39,2,38,khatma/39.mp3,pages/2 Page 38.mp3
40,2,39,khatma/40.mp3,pages/2 Page 39.mp3
41,2,40,khatma/41.mp3,pages/2 Page 40.mp3
42,2,41,khatma/42.mp3,pages/2 Page 41.mp3
43,2,42,khatma/43.mp3,pages/2 Page 42.mp3
44,2,43,khatma/44.mp3,pages/2 Page 43.mp3
45,2,44,khatma/45.mp3,pages/2 Page 44.mp3
46,2,45,khatma/46.mp3,pages/2 Page 45.mp3
47,2,46,khatma/47.mp3,pages/2 Page 46.mp3
48,2,47,khatma/48.mp3,pages/2 Page 47.mp3
49,2,48,khatma/49.mp3,pages/2 Page 48.mp3
50,3,1,khatma/50.mp3,pages/3 Page 1.mp3
51,3,2,khatma/51.mp3,pages/3 Page 2.mp3
52,3,3,khatma/52.mp3,pages/3 Page 3.mp3
53,3,4,khatma/53.mp3,pages/3 Page 4.mp3
54,3,5,khatma/54.mp3,pages/3 Page 5.mp3
55,3,6,khatma/55.mp3,pages/3 Page 6.mp3
56,3,7,khatma/56.mp3,pages/3 Page 7.mp3
57,3,8,khatma/57.mp3,pages/3 Page 8.mp3
58,3,9,khatma/58.mp3,pages/3 Page 9.mp3
59,3,10,khatma/59.mp3,pages/3 Page 10.mp3
60,3,11,khatma/60.mp3,pages/3 Page 11.mp3
61,3,12,khatma/61.mp3,pages/3 Page 12.mp3
62,3,13,khatma/62.mp3,pages/3 Page 13.mp3
63,3,14,khatma/63.mp3,pages/3 Page 14.mp3
64,3,15,khatma/64.mp3,pages/3 Page 15.mp3
65,3,16,khatma/65.mp3,pages/3 Page 16.mp3
66,3,17,khatma/66.mp3,pages/3 Page 17.mp3
67,3,18,khatma/67.mp3,pages/3 Page 18.mp3
68,3,19,khatma/68.mp3,pages/3 Page 19.mp3
69,3,20,khatma/69.mp3,pages/3 Page 20.mp3
70,3,21,khatma/70.mp3,pages/3 Page 21.mp3
71,3,22,khatma/71.mp3,pages/3 Page 22.mp3
72,3,23,khatma/72.mp3,pages/3 Page 23.mp3
73,3,24,khatma/73.mp3,pages/3 Page 24.mp3
74,3,25,khatma/74.mp3,pages/3 Page 25.mp3
75,3,26,khatma/75.mp3,pages/3 Page 26.mp3
76,3,27,khatma/76.mp3,pages/3 Page 27.mp3
77,4,1,khatma/77.mp3,pages/4 Page 1.mp3
78,4,2,khatma/78.mp3,pages/4 Page 2.mp3
79,4,3,khatma/79.mp3,pages/4 Page 3.mp3
80,4,4,khatma/80.mp3,pages/4 Page 4.mp3
81,4,5,khatma/81.mp3,pages/4 Page 5.mp3
82,4,6,khatma/82.mp3,pages/4 Page 6.mp3
83,4,7,khatma/83.mp3,pages/4 Page 7.mp3
84,4,8,khatma/84.mp3,pages/4 Page 8.mp3
85,4,9,khatma/85.mp3,pages/4 Page 9.mp3
86,4,10,khatma/86.mp3,pages/4 Page 10.mp3
87,4,11,khatma/87.mp3,pages/4 Page 11.mp3
88,4,12,khatma/88.mp3,pages/4 Page 12.mp3
89,4,13,khatma/89.mp3,pages/4 Page 13.mp3
90,4,14,khatma/90.mp3,pages/4 Page 14.mp3
91,4,15,khatma/91.mp3,pages/4 Page 15.mp3
92,4,16,khatma/92.mp3,pages/4 Page 16.mp3
93,4,17,khatma/93.mp3,pages/4 Page 17.mp3
94,4,18,khatma/94.mp3,pages/4 Page 18.mp3
95,4,19,khatma/95.mp3,pages/4 Page 19.mp3
96,4,20,khatma/96.mp3,pages/4 Page 20.mp3
97,4,21,khatma/97.mp3,pages/4 Page 21.mp3
98,4,22,khatma/98.mp3,pages/4 Page 22.mp3
99,4,23,khatma/99.mp3,pages/4 Page 23.mp3
100,4,24,khatma/100.mp3,pages/4 Page 24.mp3
101,4,25,khatma/101.mp3,pages/4 Page 25.mp3
102,4,26,khatma/102.mp3,pages/4 Page 26.mp3
103,4,27,khatma/103.mp3,pages/4 Page 27.mp3
104,4,28,khatma/104.mp3,pages/4 Page 28.mp3
105,4,29,khatma/105.mp3,pages/4 Page 29.mp3
106,4,30,khatma/106.mp3,pages/4 Page 30.mp3
106,5,1,khatma/106.mp3,pages/5 Page 1.mp3
107,5,2,khatma/107.mp3,pages/5 Page 2.mp3
108,5,3,khatma/108.mp3,pages/5 Page 3.mp3
109,5,4,khatma/109.mp3,pages/5 Page 4.mp3
110,5,5,khatma/110.mp3,pages/5 Page 5.mp3
111,5,6,khatma/111.mp3,pages/5 Page 6.mp3
112,5,7,khatma/112.mp3,pages/5 Page 7.mp3
113,5,8,khatma/113.mp3,pages/5 Page 8.mp3
114,5,9,khatma/114.mp3,pages/5 Page 9.mp3
115,5,10,khatma/115.mp3,pages/5 Page 10.mp3
116,5,11,khatma/116.mp3,pages/5 Page 11.mp3
117,5,12,khatma/117.mp3,pages/5 Page 12.mp3
118,5,13,khatma/118.mp3,pages/5 Page 13.mp3
119,5,14,khatma/119.mp3,pages/5 Page 14.mp3
120,5,15,khatma/120.mp3,pages/5 Page 15.mp3
121,5,16,khatma/121.mp3,pages/5 Page 16.mp3
122,5,17,khatma/122.mp3,pages/5 Page 17.mp3
123,5,18,khatma/123.mp3,pages/5 Page 18.mp3
124,5,19,khatma/124.mp3,pages/5 Page 19.mp3
125,5,20,khatma/125.mp3,pages/5 Page 20.mp3
126,5,21,khatma/126.mp3,pages/5 Page 21.mp3
127,5,22,khatma/127.mp3,pages/5 Page 22.mp3
128,6,1,khatma/128.mp3,pages/6 Page 1.mp3
129,6,2,khatma/129.mp3,pages/6 Page 2.mp3
130,6,3,khatma/130.mp3,pages/6 Page 3.mp3
131,6,4,khatma/131.mp3,pages/6 Page 4.mp3
132,6,5,khatma/132.mp3,pages/6 Page 5.mp3
133,6,6,khatma/133.mp3,pages/6 Page 6.mp3
134,6,7,khatma/134.mp3,pages/6 Page 7.mp3
135,6,8,khatma/135.mp3,pages/6 Page 8.mp3
136,6,9,khatma/136.mp3,pages/6 Page 9.mp3
137,6,10,khatma/137.mp3,pages/6 Page 10.mp3
138,6,11,khatma/138.mp3,pages/6 Page 11.mp3
139,6,12,khatma/139.mp3,pages/6 Page 12.mp3
140,6,13,khatma/140.mp3,pages/6 Page 13.mp3
141,6,14,khatma/141.mp3,pages/6 Page 14.mp3
142,6,15,khatma/142.mp3,pages/6 Page 15.mp3
143,6,16,khatma/143.mp3,pages/6 Page 16.mp3
144,6,17,khatma/144.mp3,pages/6 Page 17.mp3
145,6,18,khatma/145.mp3,pages/6 Page 18.mp3
146,6,19,khatma/146.mp3,pages/6 Page 19.mp3
147,6,20,khatma/147.mp3,pages/6 Page 20.mp3
148,6,21,khatma/148.mp3,pages/6 Page 21.mp3
149,6,22,khatma/149.mp3,pages/6 Page 22.mp3
150,6,23,khatma/150.mp3,pages/6 Page 23.mp3
151,7,1,khatma/151.mp3,pages/7 Page 1.mp3
152,7,2,khatma/152.mp3,pages/7 Page 2.mp3
153,7,3,khatma/153.mp3,pages/7 Page 3.mp3
154,7,4,khatma/154.mp3,pages/7 Page 4.mp3
155,7,5,khatma/155.mp3,pages/7 Page 5.mp3
156,7,6,khatma/156.mp3,pages/7 Page 6.mp3
157,7,7,khatma/157.mp3,pages/7 Page 7.mp3
158,7,8,khatma/158.mp3,pages/7 Page 8.mp3
159,7,9,khatma/159.mp3,pages/7 Page 9.mp3
160,7,10,khatma/160.mp3,pages/7 Page 10.mp3
161,7,11,khatma/161.mp3,pages/7 Page 11.mp3
162,7,12,khatma/162.mp3,pages/7 Page 12.mp3
163,7,13,khatma/163.mp3,pages/7 Page 13.mp3
164,7,14,khatma/164.mp3,pages/7 Page 14.mp3
165,7,15,khatma/165.mp3,pages/7 Page 15.mp3
166,7,16,khatma/166.mp3,pages/7 Page 16.mp3
167,7,17,khatma/167.mp3,pages/7 Page 17.mp3
168,7,18,khatma/168.mp3,pages/7 Page 18.mp3
169,7,19,khatma/169.mp3,pages/7 Page 19.mp3
170,7,20,khatma/170.mp3,pages/7 Page 20.mp3
171,7,21,khatma/171.mp3,pages/7 Page 21.mp3
172,7,22,khatma/172.mp3,pages/7 Page 22.mp3
173,7,23,khatma/173.mp3,pages/7 Page 23.mp3
174,7,24,khatma/174.mp3,pages/7 Page 24.mp3
175,7,25,khatma/175.mp3,pages/7 Page 25.mp3
176,7,26,khatma/176.mp3,pages/7 Page 26.mp3
177,8,1,khatma/177.mp3,pages/8 Page 1.mp3
178,8,2,khatma/178.mp3,pages/8 Page 2.mp3
179,8,3,khatma/179.mp3,pages/8 Page 3.mp3
180,8,4,khatma/180.mp3,pages/8 Page 4.mp3
181,8,5,khatma/181.mp3,pages/8 Page 5.mp3
182,8,6,khatma/182.mp3,pages/8 Page 6.mp3
