surah,ayah,mushaf_page,audio_file,start_ms,end_ms
1,1,1,khatma/1.mp3,4420,8620
1,2,1,khatma/1.mp3,8620,13500
1,3,1,khatma/1.mp3,13500,16700
1,4,1,khatma/1.mp3,16700,20040
1,5,1,khatma/1.mp3,20040,24840
1,6,1,khatma/1.mp3,24840,28920
1,7,1,khatma/1.mp3,28920,
2,1,2,khatma/2.mp3,0,15080
2,2,2,khatma/2.mp3,15080,32380
2,3,2,khatma/2.mp3,32380,44900
2,4,2,khatma/2.mp3,44900,61060
2,5,2,khatma/2.mp3,61060,
2,6,3,khatma/3.mp3,0,13200
2,7,3,khatma/3.mp3,13200,27240
2,8,3,khatma/3.mp3,27240,41100
2,9,3,khatma/3.mp3,41100,55180
2,10,3,khatma/3.mp3,55180,70500
2,11,3,khatma/3.mp3,70500,81520
2,12,3,khatma/3.mp3,81520,90780
2,13,3,khatma/3.mp3,90780,115260
2,14,3,khatma/3.mp3,115260,139240
2,15,3,khatma/3.mp3,139240,148500
2,16,3,khatma/3.mp3,148500,
2,17,4,khatma/4.mp3,400,21120
2,18,4,khatma/4.mp3,21120,29660
2,19,4,khatma/4.mp3,29660,57620
2,20,4,khatma/4.mp3,57620,99320
2,21,4,khatma/4.mp3,99320,111600
2,22,4,khatma/4.mp3,111600,151880
2,23,4,khatma/4.mp3,151880,176720
2,24,4,khatma/4.mp3,176720,
2,25,5,khatma/5.mp3,600,46520
2,26,5,khatma/5.mp3,46520,94020
2,27,5,khatma/5.mp3,94020,134160
2,28,5,khatma/5.mp3,134160,155480
2,29,5,khatma/5.mp3,155480,
2,30,6,khatma/6.mp3,0,33280
2,31,6,khatma/6.mp3,33280,59200
2,32,6,khatma/6.mp3,59200,82100
2,33,6,khatma/6.mp3,82100,122620
2,34,6,khatma/6.mp3,122620,142040
2,35,6,khatma/6.mp3,142040,163800
2,36,6,khatma/6.mp3,163800,186460
2,37,6,khatma/6.mp3,186460,
2,38,7,khatma/7.mp3,1980,20220
2,39,7,khatma/7.mp3,20220,37700
2,40,7,khatma/7.mp3,37700,59020
2,41,7,khatma/7.mp3,59020,82900
2,42,7,khatma/7.mp3,82900,92860
2,43,7,khatma/7.mp3,92860,128160
2,44,7,khatma/7.mp3,128160,153720
2,45,7,khatma/7.mp3,153720,165280
2,46,7,khatma/7.mp3,165280,183800
2,47,7,khatma/7.mp3,183800,194340
2,48,7,khatma/7.mp3,194340,
2,49,8,khatma/8.mp3,0,30380
2,50,8,khatma/8.mp3,30380,54460
2,51,8,khatma/8.mp3,54460,70840
2,52,8,khatma/8.mp3,70840,80640
2,53,8,khatma/8.mp3,80640,89620
2,54,8,khatma/8.mp3,89620,133260
2,55,8,khatma/8.mp3,133260,151260
2,56,8,khatma/8.mp3,151260,162280
2,57,8,khatma/8.mp3,162280,
2,62,10,khatma/10.mp3,0,24760
2,63,10,khatma/10.mp3,24760,46580
2,64,10,khatma/10.mp3,46580,61300
2,65,10,khatma/10.mp3,61300,72900
2,66,10,khatma/10.mp3,72900,84720
2,67,10,khatma/10.mp3,84720,105780
2,68,10,khatma/10.mp3,105780,129420
2,69,10,khatma/10.mp3,129420,
2,70,11,khatma/11.mp3,0,17040
2,71,11,khatma/11.mp3,17040,45700
2,72,11,khatma/11.mp3,45700,59480
2,73,11,khatma/11.mp3,59480,80420
2,74,11,khatma/11.mp3,80420,127220
2,75,11,khatma/11.mp3,127220,154920
2,76,11,khatma/11.mp3,154920,
2,77,12,khatma/12.mp3,180,8400
2,78,12,khatma/12.mp3,8400,22180
2,79,12,khatma/12.mp3,22180,50840
2,80,12,khatma/12.mp3,50840,76880
2,81,12,khatma/12.mp3,76880,94420
2,82,12,khatma/12.mp3,94420,105520
2,83,12,khatma/12.mp3,105520,
2,84,13,khatma/13.mp3,0,20560
2,85,13,khatma/13.mp3,20560,88720
2,86,13,khatma/13.mp3,88720,108660
2,87,13,khatma/13.mp3,108660,144480
2,88,13,khatma/13.mp3,144480,
2,89,14,khatma/14.mp3,40,28700
2,90,14,khatma/14.mp3,28700,64780
2,91,14,khatma/14.mp3,64780,99180
2,92,14,khatma/14.mp3,99180,114260
2,93,14,khatma/14.mp3,114260,
2,94,15,khatma/15.mp3,160,23400
2,95,15,khatma/15.mp3,23400,37000
2,96,15,khatma/15.mp3,37000,71260
2,97,15,khatma/15.mp3,71260,102460
2,98,15,khatma/15.mp3,102460,118860
2,99,15,khatma/15.mp3,118860,135420
2,100,15,khatma/15.mp3,135420,146960
2,101,15,khatma/15.mp3,146960,
2,102,16,khatma/16.mp3,160,83620
2,103,16,khatma/16.mp3,83620,100280
2,104,16,khatma/16.mp3,100280,115800
2,105,16,khatma/16.mp3,115800,
2,106,17,khatma/17.mp3,0,19560
2,107,17,khatma/17.mp3,19560,36620
2,108,17,khatma/17.mp3,36620,55440
2,109,17,khatma/17.mp3,55440,90940
2,110,17,khatma/17.mp3,90940,124820
2,111,17,khatma/17.mp3,124820,146120
2,112,17,khatma/17.mp3,146120,
2,113,18,khatma/18.mp3,340,30980
2,114,18,khatma/18.mp3,30980,61300
2,115,18,khatma/18.mp3,61300,76400
2,116,18,khatma/18.mp3,76400,90680
2,117,18,khatma/18.mp3,90680,105240
2,118,18,khatma/18.mp3,105240,133980
2,119,18,khatma/18.mp3,133980,
2,120,19,khatma/19.mp3,220,29520
2,121,19,khatma/19.mp3,29520,60900
2,122,19,khatma/19.mp3,60900,71140
2,123,19,khatma/19.mp3,71140,89920
2,124,19,khatma/19.mp3,89920,114660
2,125,19,khatma/19.mp3,114660,153220
2,126,19,khatma/19.mp3,153220,
2,127,20,khatma/20.mp3,0,20860
2,128,20,khatma/20.mp3,20860,59000
2,129,20,khatma/20.mp3,59000,80000
2,130,20,khatma/20.mp3,80000,108220
2,131,20,khatma/20.mp3,108220,124620
2,132,20,khatma/20.mp3,124620,164080
2,133,20,khatma/20.mp3,164080,197980
2,134,20,khatma/20.mp3,197980,
2,142,22,khatma/22.mp3,0,24480
2,143,22,khatma/22.mp3,24480,75060
2,144,22,khatma/22.mp3,75060,129940
2,145,22,khatma/22.mp3,129940,
2,146,23,khatma/23.mp3,120,19300
2,147,23,khatma/23.mp3,19300,35660
2,148,23,khatma/23.mp3,35660,75800
2,149,23,khatma/23.mp3,75800,83300
2,150,23,khatma/23.mp3,83300,110740
2,151,23,khatma/23.mp3,110740,139920
2,152,23,khatma/23.mp3,139920,151980
2,153,23,khatma/23.mp3,151980,
2,154,24,khatma/24.mp3,0,14840
2,155,24,khatma/24.mp3,14840,32400
2,156,24,khatma/24.mp3,32400,55100
2,157,24,khatma/24.mp3,55100,69320
2,158,24,khatma/24.mp3,69320,93560
2,159,24,khatma/24.mp3,93560,117460
2,160,24,khatma/24.mp3,117460,130360
2,161,24,khatma/24.mp3,130360,146340
2,162,24,khatma/24.mp3,146340,158720
2,163,24,khatma/24.mp3,158720,
2,164,25,khatma/25.mp3,0,71400
2,165,25,khatma/25.mp3,71400,107920
2,166,25,khatma/25.mp3,107920,121000
2,167,25,khatma/25.mp3,121000,151420
2,168,25,khatma/25.mp3,151420,168860
2,169,25,khatma/25.mp3,168860,
2,170,26,khatma/26.mp3,280,24800
2,171,26,khatma/26.mp3,24800,47020
2,172,26,khatma/26.mp3,47020,65380
2,173,26,khatma/26.mp3,65380,93560
2,174,26,khatma/26.mp3,93560,132500
2,175,26,khatma/26.mp3,132500,147460
2,176,26,khatma/26.mp3,147460,
2,177,27,khatma/27.mp3,0,73560
2,178,27,khatma/27.mp3,73560,112100
2,179,27,khatma/27.mp3,112100,121800
2,180,27,khatma/27.mp3,121800,154200
2,181,27,khatma/27.mp3,154200,
2,182,28,khatma/28.mp3,0,17820
2,183,28,khatma/28.mp3,17820,34980
2,184,28,khatma/28.mp3,34980,72040
2,185,28,khatma/28.mp3,72040,132660
2,186,28,khatma/28.mp3,132660,
2,191,30,khatma/30.mp3,1860,31860
2,192,30,khatma/30.mp3,31860,39660
2,193,30,khatma/30.mp3,39660,56540
2,194,30,khatma/30.mp3,56540,78740
2,195,30,khatma/30.mp3,78740,98280
2,196,30,khatma/30.mp3,98280,
2,197,31,khatma/31.mp3,0,35000
2,198,31,khatma/31.mp3,35000,70940
2,199,31,khatma/31.mp3,70940,86940
2,200,31,khatma/31.mp3,86940,112920
2,201,31,khatma/31.mp3,112920,130560
2,202,31,khatma/31.mp3,130560,
2,203,32,khatma/32.mp3,680,27260
2,204,32,khatma/32.mp3,27260,42620
2,205,32,khatma/32.mp3,42620,57260
2,206,32,khatma/32.mp3,57260,76380
2,207,32,khatma/32.mp3,76380,93840
2,208,32,khatma/32.mp3,93840,110260
2,209,32,khatma/32.mp3,110260,124460
2,210,32,khatma/32.mp3,124460,
2,211,33,khatma/33.mp3,5700,21100
2,212,33,khatma/33.mp3,21100,42180
2,213,33,khatma/33.mp3,42180,104560
2,214,33,khatma/33.mp3,104560,163360
2,215,33,khatma/33.mp3,163360,
2,216,34,khatma/34.mp3,0,26700
2,217,34,khatma/34.mp3,26700,87380
2,218,34,khatma/34.mp3,87380,112920
2,219,34,khatma/34.mp3,112920,
2,220,35,khatma/35.mp3,0,28340
2,221,35,khatma/35.mp3,28340,77420
2,222,35,khatma/35.mp3,77420,107120
2,223,35,khatma/35.mp3,107120,138160
2,224,35,khatma/35.mp3,138160,
2,225,36,khatma/36.mp3,480,15820
2,226,36,khatma/36.mp3,15820,30160
2,227,36,khatma/36.mp3,30160,36880
2,228,36,khatma/36.mp3,36880,89220
2,229,36,khatma/36.mp3,89220,133980
2,230,36,khatma/36.mp3,133980,
2,231,37,khatma/37.mp3,0,50340
2,232,37,khatma/37.mp3,50340,96600
2,233,37,khatma/37.mp3,96600,
2,234,38,khatma/38.mp3,0,31380
2,235,38,khatma/38.mp3,31380,84720
2,236,38,khatma/38.mp3,84720,111500
2,237,38,khatma/38.mp3,111500,
2,238,39,khatma/39.mp3,0,9120
2,239,39,khatma/39.mp3,9120,24780
2,240,39,khatma/39.mp3,24780,53380
2,241,39,khatma/39.mp3,53380,61160
2,242,39,khatma/39.mp3,61160,69800
2,243,39,khatma/39.mp3,69800,105900
2,244,39,khatma/39.mp3,105900,115800
2,245,39,khatma/39.mp3,115800,
2,246,40,khatma/40.mp3,160,52880
2,247,40,khatma/40.mp3,52880,100360
2,248,40,khatma/40.mp3,100360,
2,253,42,khatma/42.mp3,0,64920
2,254,42,khatma/42.mp3,64920,102480
2,255,42,khatma/42.mp3,102480,181820
2,256,42,khatma/42.mp3,181820,
2,257,43,khatma/43.mp3,0,28140
2,258,43,khatma/43.mp3,28140,69220
2,259,43,khatma/43.mp3,69220,
2,260,44,khatma/44.mp3,0,35660
2,261,44,khatma/44.mp3,35660,59700
2,262,44,khatma/44.mp3,59700,83080
2,263,44,khatma/44.mp3,83080,100960
2,264,44,khatma/44.mp3,100960,
2,265,45,khatma/45.mp3,0,33420
2,266,45,khatma/45.mp3,33420,77520
2,267,45,khatma/45.mp3,77520,110740
2,268,45,khatma/45.mp3,110740,129740
2,269,45,khatma/45.mp3,129740,
2,270,46,khatma/46.mp3,0,17300
2,271,46,khatma/46.mp3,17300,41600
2,272,46,khatma/46.mp3,41600,74900
2,273,46,khatma/46.mp3,74900,123100
2,274,46,khatma/46.mp3,123100,
2,275,47,khatma/47.mp3,80,48100
2,276,47,khatma/47.mp3,48100,63660
2,277,47,khatma/47.mp3,63660,86500
2,278,47,khatma/47.mp3,86500,101000
2,279,47,khatma/47.mp3,101000,117940
2,280,47,khatma/47.mp3,117940,133360
2,281,47,khatma/47.mp3,133360,
2,282,48,khatma/48.mp3,1580,
3,1,50,khatma/50.mp3,0,17740
3,2,50,khatma/50.mp3,17740,25460
3,3,50,khatma/50.mp3,25460,38600
3,4,50,khatma/50.mp3,38600,64160
3,5,50,khatma/50.mp3,64160,74000
3,6,50,khatma/50.mp3,74000,88540
3,7,50,khatma/50.mp3,88540,148600
3,8,50,khatma/50.mp3,148600,167300
3,9,50,khatma/50.mp3,167300,
3,10,51,khatma/51.mp3,0,17020
3,11,51,khatma/51.mp3,17020,30460
3,12,51,khatma/51.mp3,30460,43600
3,13,51,khatma/51.mp3,43600,75380
3,14,51,khatma/51.mp3,75380,101120
3,15,51,khatma/51.mp3,101120,
3,16,52,khatma/52.mp3,100,13040
3,17,52,khatma/52.mp3,13040,26480
3,18,52,khatma/52.mp3,26480,45180
3,19,52,khatma/52.mp3,45180,67780
3,20,52,khatma/52.mp3,67780,98380
3,21,52,khatma/52.mp3,98380,118100
3,22,52,khatma/52.mp3,118100,
3,23,53,khatma/53.mp3,160,18320
3,24,53,khatma/53.mp3,18320,36640
3,25,53,khatma/53.mp3,36640,52180
3,26,53,khatma/53.mp3,52180,87740
3,27,53,khatma/53.mp3,87740,108040
3,28,53,khatma/53.mp3,108040,134600
3,29,53,khatma/53.mp3,134600,
3,30,54,khatma/54.mp3,0,27360
3,31,54,khatma/54.mp3,27360,41380
